These	These	np1	These	Theise	0
marchandise	marchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
enjoy	enjoy	vvi	enjoy	enjoy	0
intercourse	intercourse	n1	intercourse	intercourse	0
of	of	pp-f	of	of	0
traffike	traffike	n1	traffic	traffic	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
English	English	jp	English	english	0
marchants	marchants	n2	merchants	merchant	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
altogether	altogether	av	altogether	altogether	0
excluded	excluded	vvn	excluded	exclude	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
traffike	traffike	n1	traffic	traffic	0
and	and	cc	and	and	0
mutuall	mutuall	j	mutual	mutual	0
conversation	conversation	n1	conversation	conversation	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
denouncing	denouncing	vvg	denouncing	denounce	0
and	and	cc	and	and	0
inflicting	inflicting	vvg	inflicting	inflict	0
grievous	grievous	j	grievous	grievous	0
penalties	penalties	n2	penalties	penalty	0
of	of	pp-f	of	of	0
money	money	n1	money	money	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
upon	upon	p-acp	upon	upon	0
cities	cities	n2	cities	city	0
as	as	p-acp	as	as	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
particular	particular	j	particular	particular	0
marchants	marchants	n2	merchants	merchant	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
societie	societie	n1	society	society	0
practising	practising	vvg	practising	practise	0
the	the	dt	the	the	0
contrary	contrary	j-jn	contrary	contrary	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
immediatly	immediatly	av-j	immediately	immediate	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
parties	parties	n2	parties	party	0
enacting	enacting	vvg	enacting	enact	0
and	and	cc	and	and	0
ordaining	ordaining	vvg	ordaining	ordain	0
published	published	vvn	published	publish	0
their	their	po32	their	their	0
sayde	sayde	j-vvn	said	say	0
statute	statute	n1	statute	statute	0
and	and	cc	and	and	0
80	80	crd	80	80	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ordinance	ordinance	n1	ordinance	ordinance	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
,	,	,	,	,	0
provinces	provinces	n2	provinces	province	0
,	,	,	,	,	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
townes	townes	n2	towns	town	0
,	,	,	,	,	0
wherin	wherin	c-crq	wherein	wherein	0
any	any	d	any	any	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
societie	societie	n1	society	society	0
were	were	vbdr	were	be	0
conversant	conversant	j	conversant	conversant	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
that	that	d	that	that	0
publication	publication	n1	publication	publication	0
,	,	,	,	,	0
the	the	dt	the	the	0
statute	statute	n1	statute	statute	0
and	and	cc	and	and	0
ordinance	ordinance	n1	ordinance	ordinance	0
aforesaid	aforesaid	vvn	aforesaid	aforesaid	0
by	by	p-acp	by	by	0
every	every	d	every	every	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
forenamed	forenamed	j-vvn	forenamed	forename	0
society	society	n1	society	society	0
were	were	vbdr	were	be	0
inviolably	inviolably	av-j	inviolably	inviolable	0
observed	observed	vvn	observed	observe	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
statute	statute	n1	statute	statute	0
and	and	cc	and	and	0
ordinance	ordinance	n1	ordinance	ordinance	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
so	so	av	so	so	0
rigorously	rigorously	av-j	rigorously	rigorous	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
execution	execution	n1	execution	execution	0
,	,	,	,	,	0
that	that	cst	that	that	0
whereas	whereas	cs	whereas	whereas	0
immediatly	immediatly	av-j	immediately	immediate	0
after	after	p-acp	after	after	0
certaine	certaine	j	certain	certain	0
English	English	jp	English	english	0
marchants	marchants	n2	merchants	merchant	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
mariners	mariners	n2	mariners	mariner	0
,	,	,	,	,	0
and	and	cc	and	and	0
marchandize	marchandize	n1	merchandise	merchandise	0
beeing	beeing	vbg	being	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
principali	principali	fw-la	principali	principali	0
cities	cities	n2	cities	city	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaide	foresaide	j-vvn	foresaid	foresay	0
societie	societie	n1	society	society	0
,	,	,	,	,	0
utterly	utterly	av-j	utterly	utter	0
destitute	destitute	j	destitute	destitute	0
of	of	pp-f	of	of	0
meate	meate	n1	meat	meat	0
,	,	,	,	,	0
drinke	drinke	n1	drink	drink	0
,	,	,	,	,	0
and	and	cc	and	and	0
money	money	n1	money	money	0
,	,	,	,	,	0
publikely	publikely	av-j	publicly	public	0
offred	offred	vvn	offered	offer	0
to	to	pc-acp	to	to	0
sell	sell	vvi	fell	sell	0
their	their	po32	their	their	0
wollen	wollen	j	woollen	woollen	0
clothes	clothes	n2	clothes	clothes	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
provide	provide	vvi	provide	provide	0
themselves	themselves	px32	themselves	themselves	0
of	of	pp-f	of	of	0
necessary	necessary	j	necessary	necessary	0
victuals	victuals	n2	victuals	victual	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
citie	citie	n1	city	city	0
,	,	,	,	,	0
stoutely	stoutely	av-j	stoutly	stout	0
persisting	persisting	vvg	persisting	persist	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
statute	statute	n1	statute	statute	0
and	and	cc	and	and	0
ordinance	ordinance	n1	ordinance	ordinance	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
straightly	straightly	av-j	straightly	straight	0
prohibited	prohibited	vvn	prohibited	prohibit	0
the	the	dt	the	the	0
buying	buying	vvg	buying	buy	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
unchristianly	unchristianly	av-j	unchristianly	unchristian	0
denying	denying	vvg	denying	deny	0
meate	meate	n1	meat	meat	0
and	and	cc	and	and	0
drinke	drinke	vvi	drink	drink	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
English	English	jp	English	english	0
marchants	marchants	n2	merchants	merchant	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
society	society	n1	society	society	0
decreed	decreed	vvn	decreed	decree	0
and	and	cc	and	and	0
ordained	ordained	vvn	ordained	ordain	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
marchant	marchant	n1	merchant	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
company	company	n1	company	company	0
should	should	vmd	should	shall	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
place	place	n1	place	place	0
or	or	cc	or	or	0
countrey	countrey	n1	country	country	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
buy	buy	vvb	buy	buy	0
any	any	d	any	any	0
woollen	woollen	j	woollen	woollen	0
clothes	clothes	n2	clothes	clothes	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
or	or	cc	or	or	0
dominion	dominion	n1	dominion	dominion	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
(	(	(	(	(	0
albeit	albeit	cs	albeit	albeit	0
offered	offered	vvn	offered	offer	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
and	and	cc	and	and	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
English	English	jp	English	english	0
men	men	n2	men	man	0
)	)	)	)	)	0
or	or	cc	or	or	0
,	,	,	,	,	0
having	having	vhg	having	have	0
bought	bought	vvn	bought	buy	0
any	any	d	any	any	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
terme	terme	n1	term	term	0
prefixed	prefixed	vvd	prefixed	prefix	0
,	,	,	,	,	0
sei	sei	n1	sei	sei	0
them	them	pno32	them	they	0
,	,	,	,	,	0
imposing	imposing	vvg	imposing	impose	0
grievous	grievous	j	grievous	grievous	0
pecuniary	pecuniary	n1	pecuniary	pecuniary	0
mulcts	mulcts	n2	mulcts	mulct	0
,	,	,	,	,	0
besides	besides	p-acp	beside	beside	0
the	the	dt	the	the	0
forfeiture	forfeiture	n1	forfeiture	forfeiture	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
clothes	clothes	n2	clothes	clothes	0
so	so	av	so	so	0
bought	bought	vvn	bought	buy	0
or	or	cc	or	or	0
sold	sold	vvn	sold	sell	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
attempt	attempt	vvi	attempt	attempt	0
the	the	dt	the	the	0
contrary	contrary	n-jn	contrary	contrary	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
statute	statute	n1	statute	statute	0
and	and	cc	and	and	0
ordinance	ordinance	n1	ordinance	ordinance	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaide	foresaide	j-vvn	foresaid	foresay	0
societie	societie	n1	society	society	0
decreed	decreed	vvn	decreed	decree	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
having	having	vhg	having	have	0
among	among	p-acp	among	among	0
their	their	po32	their	their	0
wares	wares	n2	wares	ware	0
and	and	cc	and	and	0
marchandise	marchandise	n1	merchandise	merchandise	0
any	any	d	any	any	0
woollen	woollen	j	woollen	woollen	0
clothes	clothes	n2	clothes	clothes	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
either	either	av-d	either	either	0
sell	sell	vvi	fell	sell	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
or	or	cc	or	or	0
within	within	p-acp	within	within	0
a	a	dt	a	a	0
short	short	j	short	short	0
space	space	n1	space	space	0
then	then	av	then	then	0
limited	limited	vvn	limited	limit	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
penaltie	penaltie	n1	penalty	penalty	0
of	of	pp-f	of	of	0
forfeiting	forfeiting	vvg	forfeiting	forfeit	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
utterly	utterly	av-j	utterly	utter	0
renounce	renounce	vvb	renounce	renounce	0
the	the	dt	the	the	0
use	use	n1	use	use	0
and	and	cc	and	and	0
commodi	commodi	fw-la	commodi	commodi	0
tie	tie	vvi	tie	tie	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
Not	Not	xx	Not	not	0
-	-	-	-	-	0
The	The	dt	The	the	0
Hans	Hans	np1	Hans	Hans	0
withstanding	withstanding	vvg	withstanding	withstand	0
a	a	dt	a	a	0
grievous	grievous	j	grievous	grievous	0
penaltie	penaltie	n1	penalty	penalty	0
of	of	pp-f	of	of	0
money	money	n1	money	money	0
being	being	vbg	being	be	0
imposed	imposed	vvn	imposed	impose	0
societie	societie	n1	society	society	0
deter-upon	deter-upon	j	deter-upon	deter-upon	0
the	the	dt	the	the	0
violaters	violaters	n2	violaters	violater	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
statute	statute	n1	statute	statute	0
.	.	.	.	.	0
of	of	pp-f	of	of	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
statutes	statutes	n2	statutes	statute	0
and	and	cc	and	and	0
ordinances	ordinances	n2	ordinances	ordinance	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
might	might	n1	might	might	0
English	English	np1	English	English	0
mar-with	mar-with	j	mar-with	mar-with	0
more	more	n1	more	moor	0
speed	speed	n1	speed	speed	0
and	and	cc	and	and	0
celerity	celerity	n1	celerity	celerity	0
be	be	vbb	be	be	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
execution	execution	n1	execution	execution	0
,	,	,	,	,	0
the	the	dt	the	the	0
chants	chants	vvz	chants	chant	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
n	n	wd	n	n	0
81	81	crd	81	81	0
F	F	zz	F	f	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Statutes	Statutes	n2	Statutes	statute	0
against	against	p-acp	against	against	0
English	English	jp	English	english	0
marchants	marchants	n2	merchants	merchant	0
in	in	p-acp	in	in	0
Norway	Norway	np1	Norway	Norway	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
Suedland	Suedland	np1	Suedland	Suedland	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
said	said	vvd	said	say	0
authors	authors	n2	authors	author	0
and	and	cc	and	and	0
publishers	publishers	n2	publishers	publisher	0
thereof	thereof	av	thereof	thereof	0
imagining	imagining	vvg	imagining	imagine	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
meanes	meanes	n2	means	mean	0
an	an	dt	and	a	0
utter	utter	j	utter	utter	0
extirpation	extirpation	n1	extirpation	extirpation	0
and	and	cc	and	and	0
overthrow	overthrow	n1	overthrow	overthrow	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
marchants	marchants	n2	merchants	merchant	0
might	might	vmd	might	may	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
necessity	necessity	n1	necessity	necessity	0
must	must	vmb	must	must	0
ensue	ensue	vvi	ensue	ensue	0
:	:	:	:	:	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
serious	serious	j	serious	serious	0
&	&	cc	&	and	0
long	long	j	long	long	0
premeditated	premeditated	j-vvn	premeditated	premeditate	0
deliberation	deliberation	n1	deliberation	deliberation	0
,	,	,	,	,	0
straitely	straitely	av-j	straitely	straite	0
commanded	commanded	vvn	commanded	command	0
&	&	cc	&	and	0
injoyned	injoyned	vvd	enjoined	enjoin	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
pain	pain	n1	pain	pain	0
of	of	pp-f	of	of	0
losing	losing	vvg	losing	lose	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
privileges	privileges	n2	privileges	privilege	0
,	,	,	,	,	0
wheresoever	wheresoever	c-crq	wheresoever	wheresoever	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
princes	princes	n2	princes	prince	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
lands	lands	n2	lands	land	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
Magistrates	Magistrates	n2	Magistrates	magistrate	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
Cities	Cities	n2	Cities	city	0
or	or	cc	or	or	0
townes	townes	n2	towns	town	0
soever	soever	av	soever	soever	0
vouchsafed	vouchsafed	vvn	vouchsafed	vouchsafe	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
common	common	j	common	common	0
societie	societie	n1	society	society	0
,	,	,	,	,	0
that	that	cst	that	that	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
the	the	dt	the	the	0
aidermen	aidermen	n2	aidermen	aiderman	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
society	society	n1	society	society	0
in	in	p-acp	in	in	0
al	al	d	all	all	0
places	places	n2	places	place	0
throughout	throughout	p-acp	throughout	throughout	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
al	al	d	all	all	0
other	other	j-jn	other	other	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
company	company	n1	company	company	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
marchants	marchants	n2	merchants	merchant	0
conversing	conversing	vvg	conversing	converse	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
exception	exception	n1	exception	exception	0
of	of	pp-f	of	of	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
utterly	utterly	av-j	utterly	utter	0
abstein	abstein	vvi	abstain	abstain	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
intercourse	intercourse	n1	intercourse	intercourse	0
of	of	pp-f	of	of	0
traffike	traffike	n1	traffic	traffic	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
:	:	:	:	:	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shoulde	shoulde	vmd	should	shall	0
depart	depart	vvi	depart	depart	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
kingdome	kingdome	n1	kingdom	kingdom	0
within	within	p-acp	within	within	0
a	a	dt	a	a	0
very	very	j	very	very	0
short	short	j	short	short	0
space	space	n1	space	space	0
limited	limited	vvn	limited	limit	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
dispatching	dispatching	vvg	dispatching	dispatch	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
which	which	r-crq	which	which	0
premisses	premisses	n2	premises	premise	0
without	without	p-acp	without	without	0
delay	delay	n1	delay	delay	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
commandement	commandement	n1	commandment	commandment	0
effectually	effectually	av-j	effectually	effectual	0
provided	provided	vvn	provided	provide	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
society	society	n1	society	society	0
aforesaid	aforesaid	vvn	aforesaid	aforesaid	0
hath	hath	vhz	hath	have	0
approved	approved	vvn	approved	approve	0
divers	divers	j	diverse	diverse	0
very	very	av	very	very	0
unreasonable	unreasonable	j	unreasonable	unreasonable	0
statutes	statutes	n2	statutes	statute	0
&	&	cc	&	and	0
ordinances	ordinances	n2	ordinances	ordinance	0
,	,	,	,	,	0
made	made	vvn	made	make	0
&	&	cc	&	and	0
published	published	vvn	published	publish	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
society	society	n1	society	society	0
residing	residing	vvg	residing	reside	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
kingdoms	kingdoms	n2	kingdoms	kingdom	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
and	and	cc	and	and	0
Swedland	Swedland	np1	Swedland	Swedland	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
prejudice	prejudice	n1	prejudice	prejudice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
both	both	av-d	both	both	0
covertly	covertly	av-j	covertly	covert	0
and	and	cc	and	and	0
expresly	expresly	av-j	expressly	express	0
do	do	vdb	do	do	0
approve	approve	vvi	approve	approve	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
unjustly	unjustly	av-j	unjustly	unjust	0
putting	putting	vvg	putting	put	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
daily	daily	j	daily	daily	0
execution	execution	n1	execution	execution	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
wheras	wheras	cs	whereas	whereas	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
privileges	privileges	n2	privileges	privilege	0
&	&	cc	&	and	0
indulgences	indulgences	n2	indulgences	indulgence	0
granted	granted	vvn	granted	grant	0
by	by	p-acp	by	by	0
ye	ye	dt	the	the	0
renoumed	renoumed	j-vvn	renowned	renown	0
princes	princes	n2	princes	prince	0
somtimes	somtimes	av	sometimes	sometime	0
kings	kings	n2	kings	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
worthy	worthy	j	worthy	worthy	0
progenitors	progenitors	n2	progenitors	progenitor	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sovereign	sovereign	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
y1	y1	n1	y1	y1	0
now	now	av	now	now	0
is	is	vbz	is	be	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
society	society	n1	society	society	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
provided	provided	vvn	provided	provide	0
,	,	,	,	,	0
y‘	y‘	n1	y‘	y‘	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
shal	shal	vmb	shall	shall	0
not	not	xx	not	not	0
avow	avow	vvi	avow	avow	0
any	any	d	any	any	0
man	man	n1	man	man	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
company	company	n1	company	company	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
shal	shal	vmb	shall	shall	0
not	not	xx	not	not	0
colour	colour	vvi	colour	colour	0
his	his	po31	his	his	0
goods	goods	n2-j	goods	good	0
and	and	cc	and	and	0
marchandize	marchandize	n1	merchandise	merchandise	0
under	under	p-acp	under	under	0
their	their	po32	their	their	0
company	company	n1	company	company	0
:	:	:	:	:	0
whereas	whereas	cs	whereas	whereas	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
confirmation	confirmation	n1	confirmation	confirmation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
priviledges	priviledges	n2	privileges	privilege	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
that	that	cst	that	that	0
nowe	nowe	av	now	now	0
is	is	vbz	is	be	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
manifestly	manifestly	av-j	manifestly	manifest	0
provided	provided	vvn	provided	provide	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
towns	towns	n2	towns	town	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
colour	colour	n1	colour	colour	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
priviledges	priviledges	n2	privileges	privilege	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
upon	upon	p-acp	upon	upon	0
paine	paine	n1	pain	pain	0
of	of	pp-f	of	of	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
the	the	dt	the	the	0
perpetuali	perpetuali	fw-la	perpetuali	perpetuali	0
frustration	frustration	n1	frustration	frustration	0
and	and	cc	and	and	0
revocation	revocation	n1	revocation	revocation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fore-sayd	fore-sayd	j	foresaid	foresaid	0
priviledges	priviledges	n2	privileges	privilege	0
,	,	,	,	,	0
receive	receive	vvb	receive	receive	0
any	any	d	any	any	0
stranger	stranger	n1	stranger	stranger	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
towne	towne	n1	town	town	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
liberties	liberties	n2	liberties	liberty	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
